"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0269",4.9513790827109,3.00394578118608,0.857111732599684,3.5047306750485,0.000457069411338909,0.00383235121814931,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","4.0e-03","Injected","Otu0269","D7_nasal_InjectedvsControl","Eubacteriaceae Acetobacterium"
"Otu03511",2.38227711167688,-3.34102128596561,1.05633572463465,-3.16284038118767,0.00156237970159292,0.00896312565650675,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter","9.0e-03","Control","Otu0351","D7_nasal_InjectedvsControl","Eubacteriaceae Pseudoramibacter"
"Otu05191",1.82880506252498,3.88199451976334,1.1961276344217,3.24546846678297,0.00117257550048225,0.00751827820897446,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","8.0e-03","Injected","Otu0519","D7_nasal_InjectedvsControl","Betaproteobacteria_unclassified Betaproteobacteria_unclassified"
"Otu0585",6.77926768032133,2.13262496701797,0.661475001388312,3.22404469185078,0.00126393672224441,0.00765383904025782,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010","8.0e-03","Injected","Otu0585","D7_nasal_InjectedvsControl","Ruminococcaceae Ruminococcaceae_UCG-010"
"Otu00021",38112.5898140029,8.35641422974374,1.29063616460723,6.4746475101965,9.50335304042884e-11,4.98926034622514e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","0.0e+00","Injected","Otu0002","D11_nasal_InjectedvsControl","Pseudomonadaceae Pseudomonas"
"Otu00031",2291.98377023839,7.60216810852769,1.33844757852865,5.67984001053276,1.34820790522119e-08,4.71872766827415e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","0.0e+00","Injected","Otu0003","D11_nasal_InjectedvsControl","Moraxellaceae Psychrobacter"
"Otu00092",222.866062520762,1.87358738447945,0.384168598096966,4.87699253338387,1.07715511118172e-06,2.82753216685201e-05,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","0.0e+00","Injected","Otu0009","D11_nasal_InjectedvsControl","Veillonellaceae Megasphaera"
"Otu00162",117.899006385338,-4.89900973527636,1.40568237978109,-3.48514700457389,0.000491866734340684,0.00645575088822148,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified","6.0e-03","Control","Otu0016","D11_nasal_InjectedvsControl","Flavobacteriaceae Flavobacteriaceae_unclassified"
"Otu00302",2755.91321231024,4.99014455630332,1.79402431429449,2.78153674760296,0.00541022052676334,0.040576653950725,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified","4.1e-02","Injected","Otu0030","D11_nasal_InjectedvsControl","Lactobacillales_unclassified Lactobacillales_unclassified"
"Otu00331",54.7876580554908,-1.11800956089409,0.299168585272201,-3.73705534582404,0.000186187952171746,0.00325828916300556,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","3.0e-03","Control","Otu0033","D11_nasal_InjectedvsControl","Ruminococcaceae Faecalibacterium"
"Otu00691",14.9867716498668,3.49332772192761,0.742918262620676,4.70216967019325,2.57411454490736e-06,5.40564054430545e-05,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","0.0e+00","Injected","Otu0069","D11_nasal_InjectedvsControl","Bifidobacteriaceae Bifidobacterium"
"Otu00781",64.7417197768358,-1.28154322685839,0.406019010389424,-3.15636261865973,0.00159750121902443,0.0167737627997565,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","1.7e-02","Control","Otu0078","D11_nasal_InjectedvsControl","Prevotellaceae Alloprevotella"
"Otu0080",34.3081156859502,-4.49338720953404,1.5893121017253,-2.82725287541458,0.00469492370993871,0.0379205376571972,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","3.8e-02","Control","Otu0080","D11_nasal_InjectedvsControl","Enterobacteriaceae Enterobacter"
"Otu0097",101.582382653471,7.376959569856,2.18447936475515,3.37698752795628,0.000732843729623877,0.00854984351227856,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","9.0e-03","Injected","Otu0097","D11_nasal_InjectedvsControl","Carnobacteriaceae Carnobacterium"
"Otu0141",13.2560475909803,6.56885067344386,0.889427642477893,7.38548068412111,1.51903589365788e-13,1.59498768834077e-11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","0.0e+00","Injected","Otu0141","D11_nasal_InjectedvsControl","Ruminococcaceae Subdoligranulum"
"Otu01701",12.1165120891083,-2.45815329341181,0.810543203017269,-3.03272334437112,0.00242357677844955,0.0231341419761094,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","2.3e-02","Control","Otu0170","D11_nasal_InjectedvsControl","Campylobacteraceae Campylobacter"
"Otu01821",7.11692778581699,5.78280033838585,1.59995024002601,3.61436261810981,0.000301087416319567,0.0045163112447935,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified","5.0e-03","Injected","Otu0182","D11_nasal_InjectedvsControl","Bacillales_unclassified Bacillales_unclassified"
"Otu0549",5.61478015127137,2.42151270867525,0.853797003604647,2.83616913441001,0.00456582593907981,0.0379205376571972,"Bacteria","Cyanobacteria","Melainabacteria","Melainabacteria_unclassified","Melainabacteria_unclassified","Melainabacteria_unclassified","3.8e-02","Injected","Otu0549","D11_nasal_InjectedvsControl","Melainabacteria_unclassified Melainabacteria_unclassified"
"Otu00121",594.487008559517,-5.38190944837789,1.25012959367422,-4.30508122966681,1.66924474663361e-05,0.000337119457342785,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","0.0e+00","Control","Otu0012","D14_nasal_InjectedvsControl","Oxalobacteraceae Janthinobacterium"
"Otu00163",121.246784839205,-5.61266070631659,1.31316017626275,-4.27416305167753,1.91856601739796e-05,0.000337119457342785,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified","0.0e+00","Control","Otu0016","D14_nasal_InjectedvsControl","Flavobacteriaceae Flavobacteriaceae_unclassified"
"Otu00201",1162.67646738065,-9.45785097587307,1.34899952752094,-7.01101133315725,2.36601566486747e-12,2.91019926778699e-10,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","0.0e+00","Control","Otu0020","D14_nasal_InjectedvsControl","Sphingobacteriaceae Sphingobacterium"
"Otu0023",1801.12796118896,-7.75444197125094,1.76474753019605,-4.3940800814661,1.11242805923565e-05,0.000318844281964795,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified","0.0e+00","Control","Otu0023","D14_nasal_InjectedvsControl","Enterobacteriaceae Enterobacteriaceae_unclassified"
"Otu00241",86.7384419753913,-5.20094317864693,1.81181594454597,-2.87056927294579,0.00409733409093877,0.0387670840911899,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacteriaceae_unclassified","3.9e-02","Control","Otu0024","D14_nasal_InjectedvsControl","Carnobacteriaceae Carnobacteriaceae_unclassified"
"Otu00261",1015.56734888614,-6.42965121578541,1.47443365004295,-4.36075995389695,1.29611496733657e-05,0.000318844281964795,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","0.0e+00","Control","Otu0026","D14_nasal_InjectedvsControl","Moraxellaceae Acinetobacter"
"Otu00292",763.43509743531,1.62206054131578,0.399099097661136,4.06430520845985,4.81757527235302e-05,0.000658401953888246,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified","1.0e-03","Injected","Otu0029","D14_nasal_InjectedvsControl","Ruminococcaceae Ruminococcaceae_unclassified"
"Otu0036",72.1751779983588,-5.04347750433373,1.12135865291346,-4.4976488933581,6.87090413544668e-06,0.000281707069553314,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","0.0e+00","Control","Otu0036","D14_nasal_InjectedvsControl","Enterobacteriaceae Pantoea"
"Otu0038",416.30492797813,-5.77373480569657,1.2474003058133,-4.62861422976174,3.68120788968298e-06,0.000226394285215503,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","0.0e+00","Control","Otu0038","D14_nasal_InjectedvsControl","Flavobacteriaceae Chryseobacterium"
"Otu00642",28.9790796513369,-3.34155798340456,1.00058054841212,-3.3396191727967,0.000838933471717418,0.0103188817021242,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified","1.0e-02","Control","Otu0064","D14_nasal_InjectedvsControl","Micrococcaceae Micrococcaceae_unclassified"
"Otu00672",20.9214698581992,-2.24538031326552,0.724790628166586,-3.0979709532743,0.00194850525561371,0.0217878314945896,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1","2.2e-02","Control","Otu0067","D14_nasal_InjectedvsControl","Lachnospiraceae Coprococcus_1"
"Otu00971",65.2308823685996,-5.498833071199,1.3382205842469,-4.10906328592573,3.97267207533495e-05,0.000610798331582748,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","1.0e-03","Control","Otu0097","D14_nasal_InjectedvsControl","Carnobacteriaceae Carnobacterium"
"Otu0233",35.514470794556,1.15835277636516,0.385073604062181,3.00813341695087,0.00262857712468845,0.0269429155280566,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","2.7e-02","Injected","Otu0233","D14_nasal_InjectedvsControl","Ruminococcaceae Ruminococcaceae_UCG-014"
